latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
42.07500,-88.02500,Chicago,3,0.59710,37060.00000,0.81430,36914.00000,0.82580,36778.00000,0.85250,34418.00000,-8.39300,0.58500,-8.96700,0.90100,-8.85600,0.18700,-9.24500,0.43700,-8.76300,0.24300,-8.90100,0.20900,-8.78100,0.18800,-8.55900,0.18800,-9.90700,0.39000,-9.85800,0.24700,-9.53500,0.35100,-9.56400,0.39700,-9.58500,0.36900,-9.49800,0.39200,-9.53800,0.37000,-9.21900,0.44500,-9.25700,0.44600,-9.29900,0.40500,-9.31700,0.31300,-8.17900,0.31000,-8.15400,0.18000,-8.20000,0.17500,-8.11200,0.24200,-8.03200,0.35900,-8.27600,0.20500,-8.17600,0.26600,-8.16100,0.20200,-8.20900,0.32400,-8.01100,0.61300,-7.96700,0.49000,-7.81900,0.57500,-7.73300,0.56200,-7.91600,0.45700,0,0.12450,6.43050,8.29460,22979528,13.47000,4.20000
42.07500,-87.97500,Chicago,3,0.67000,50660.00000,0.83080,50075.00000,0.83570,49838.00000,0.85080,46772.00000,-8.41500,0.57800,-9.15000,1.04700,-8.88900,0.18500,-9.26200,0.50200,-8.79600,0.24300,-8.93200,0.21000,-8.80700,0.18300,-8.57600,0.19900,-9.69900,0.40100,-9.64900,0.24000,-9.32500,0.36600,-9.37700,0.39700,-9.34700,0.35000,-9.26400,0.39100,-9.29800,0.35700,-9.00200,0.44500,-9.06700,0.43900,-9.09300,0.42700,-9.12800,0.31100,-8.01300,0.30200,-8.01500,0.19600,-8.05300,0.19100,-7.97000,0.22300,-7.87800,0.39500,-8.11400,0.20600,-8.04600,0.26400,-8.01800,0.22500,-8.10600,0.34200,-7.89900,0.59300,-7.82500,0.50300,-7.62900,0.62500,-7.58400,0.58200,-7.78000,0.49700,0,0.13430,5.52400,7.39620,22979528,16.98000,4.66000
42.07500,-87.92500,Chicago,3,0.63710,43784.00000,0.82530,43487.00000,0.84260,43317.00000,0.85930,40634.00000,-8.48500,0.54700,-9.97800,1.85900,-9.00500,0.16600,-9.28500,0.82500,-8.90500,0.24300,-9.02400,0.21600,-8.88300,0.15800,-8.61000,0.26100,-9.60400,0.40300,-9.56300,0.23400,-9.25800,0.37900,-9.27900,0.38300,-9.23200,0.34000,-9.15400,0.38600,-9.16400,0.35000,-8.90400,0.44600,-8.96400,0.45500,-8.99700,0.42500,-9.04600,0.33200,-8.02000,0.32200,-8.00100,0.23000,-8.02500,0.19800,-7.99600,0.20800,-7.84600,0.43400,-8.08000,0.23000,-8.03200,0.27400,-7.99200,0.23000,-8.02500,0.34800,-7.85000,0.57300,-7.81500,0.49300,-7.47400,0.69100,-7.49200,0.62900,-7.63000,0.49800,0,0.13170,5.61230,8.45160,22979528,16.67000,5.03000
42.07500,-87.87500,Chicago,3,0.44930,37297.00000,0.56880,37060.00000,0.58640,36948.00000,0.61590,34580.00000,-8.51100,0.54700,-10.04400,1.92100,-9.03500,0.17000,-9.31900,0.83200,-8.93500,0.24700,-9.05600,0.21800,-8.91300,0.15900,-8.63800,0.26400,-9.62400,0.44300,-9.58400,0.24800,-9.29400,0.39000,-9.31400,0.36900,-9.22000,0.36000,-9.16500,0.38500,-9.16300,0.34400,-8.92600,0.43100,-8.97200,0.42900,-8.99900,0.43800,-9.06900,0.36800,-8.05700,0.31500,-8.05200,0.25200,-8.06800,0.22000,-8.06900,0.23800,-7.91000,0.46400,-8.10100,0.25000,-8.07900,0.23600,-8.01000,0.27200,-8.04000,0.34000,-7.88500,0.54300,-7.83900,0.42500,-7.40100,0.67700,-7.39300,0.71600,-7.59300,0.43000,0,0.07380,7.04850,5.40610,22979528,26.40000,7.48000
42.07500,-87.82500,Chicago,3,0.69630,46937.00000,0.83720,46559.00000,0.84170,46428.00000,0.87520,43562.00000,-9.02400,0.58400,-11.23300,2.84600,-9.54200,0.28100,-9.99900,1.15100,-9.40000,0.37700,-9.49400,0.26800,-9.41200,0.19800,-9.10000,0.37900,-9.89000,0.45900,-9.90400,0.26800,-9.61700,0.41000,-9.64800,0.40100,-9.46700,0.38100,-9.43800,0.38700,-9.45400,0.38900,-9.26500,0.45900,-9.27100,0.44500,-9.27900,0.46400,-9.37100,0.39300,-8.10100,0.31600,-8.09000,0.25600,-8.15500,0.21300,-8.16000,0.25200,-7.94900,0.46700,-8.14400,0.23000,-8.14400,0.21800,-8.04100,0.27000,-8.12300,0.33400,-8.03500,0.46400,-7.93700,0.39600,-7.49500,0.67400,-7.45800,0.76300,-7.74300,0.30300,0,0.12660,4.79310,7.06420,22979528,13.21000,4.43000
42.07500,-87.77500,Chicago,3,0.51200,30364.00000,0.69750,30106.00000,0.70100,29984.00000,0.72070,28156.00000,-9.07200,0.59000,-11.34500,2.94300,-9.59500,0.28800,-10.06500,1.17400,-9.45200,0.38700,-9.54600,0.27400,-9.46500,0.20100,-9.14900,0.38600,-10.46700,0.51000,-10.48200,0.32300,-10.19800,0.44300,-10.24500,0.44300,-9.95900,0.43500,-9.99500,0.42900,-9.94800,0.43700,-9.87100,0.48000,-9.82400,0.49800,-9.82700,0.51500,-9.91700,0.44400,-8.35400,0.37500,-8.21900,0.29200,-8.37900,0.24900,-8.33700,0.34500,-8.08600,0.46500,-8.31600,0.24800,-8.26300,0.24300,-8.19700,0.28200,-8.40700,0.38300,-8.38800,0.46000,-8.30100,0.45300,-7.88300,0.69500,-7.78500,0.75400,-8.09300,0.41100,0,0.09450,5.26410,5.06870,22979528,23.26000,6.06000
42.07500,-87.72500,Chicago,3,0.34010,55073.00000,0.75730,54603.00000,0.75900,54313.00000,0.77010,51183.00000,-9.21400,0.58600,-11.45200,2.84100,-9.71000,0.35500,-10.12200,1.21600,-9.49800,0.43000,-9.57600,0.30100,-9.57000,0.23400,-9.27400,0.44700,-11.46400,0.56700,-11.47900,0.36900,-11.23500,0.53000,-11.24000,0.46000,-10.93900,0.49200,-11.01900,0.51100,-10.93000,0.54500,-10.90400,0.56300,-10.75800,0.58700,-10.80800,0.61000,-10.91000,0.53200,-9.15400,0.42200,-9.17000,0.39700,-9.33000,0.34200,-9.26300,0.42900,-8.94800,0.52600,-9.22600,0.36800,-9.12700,0.44700,-9.07800,0.47700,-9.28300,0.60200,-9.13500,0.46900,-9.10800,0.50000,-8.69800,0.70700,-8.54000,0.74100,-8.85900,0.54600,0,0.11430,5.96270,7.15320,22979528,21.28000,5.60000
42.07500,-87.67500,Chicago,1,0.09610,28838.00000,0.34600,28589.00000,0.34810,28500.00000,0.35330,26812.00000,-9.41300,0.57200,-11.54500,2.59000,-9.85400,0.46300,-10.16500,1.27400,-9.52900,0.49500,-9.57500,0.34200,-9.69700,0.28500,-9.43800,0.54600,-12.66100,0.68800,-12.75900,0.53100,-12.55500,0.68000,-12.54300,0.54600,-12.18100,0.59900,-12.32100,0.63500,-12.16500,0.63900,-12.21000,0.67000,-11.96500,0.66600,-12.06700,0.75200,-12.16700,0.59100,-11.09100,0.53900,-11.33500,0.56100,-11.44500,0.49200,-11.25200,0.53700,-11.01800,0.65200,-11.34900,0.46000,-11.21600,0.52900,-11.07100,0.55300,-10.89600,0.93400,-10.72600,0.76500,-10.45600,0.76500,-10.13900,1.27100,-9.75400,1.00200,-10.24200,0.78600,17,0.03410,2.43920,3.32620,22979528,14.64000,5.25000
42.07500,-87.62500,Chicago,0,0.00070,0.00000,0.00100,0.00000,0.00120,0.00000,0.00130,0.00000,-9.41300,0.57200,-11.54500,2.59000,-9.85400,0.46300,-10.16500,1.27400,-9.52900,0.49500,-9.57500,0.34200,-9.69700,0.28500,-9.43800,0.54600,-13.14600,0.74400,-13.27000,0.61500,-13.07900,0.75200,-13.05900,0.60100,-12.66200,0.65400,-12.82400,0.68800,-12.64400,0.68100,-12.71500,0.72700,-12.44000,0.70300,-12.55400,0.81500,-12.64700,0.62300,-11.96400,0.63000,-12.30400,0.67000,-12.38400,0.58700,-12.14500,0.60600,-11.90600,0.72100,-12.26200,0.53400,-12.14000,0.54700,-11.93500,0.63100,-11.57500,1.05300,-11.45300,0.95600,-11.07500,0.95300,-10.80400,1.55800,-10.35300,1.12700,-10.88400,0.93200,100,0.00000,0.00000,0.00000,22979528,-9999.00000,-9999.00000
42.07500,-87.57500,Chicago,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-13.70500,0.83100,-13.76600,0.74600,-13.58300,0.86700,-13.52500,0.72900,-13.07500,0.75800,-13.22400,0.74000,-13.06000,0.77300,-13.12900,0.85700,-12.86200,0.78500,-12.93900,0.89400,-13.00100,0.72300,-12.96800,0.94200,-13.51900,1.01100,-13.43800,0.84000,-13.24700,0.79900,-12.76700,0.87000,-13.15600,0.83800,-13.14200,0.59600,-12.83900,1.01000,-12.28300,1.09100,-12.33800,1.34700,-12.00600,1.43300,-11.84200,1.93600,-11.48900,1.24600,-11.85700,1.29400,100,0.00000,0.00000,0.00000,22979528,-9999.00000,-9999.00000
42.07500,-87.52500,Chicago,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,22979528,-9999.00000,-9999.00000
42.02500,-88.02500,Chicago,3,0.36490,17953.00000,0.58320,17356.00000,0.60490,17301.00000,0.62900,16273.00000,-8.18500,0.60000,-8.51700,1.05800,-8.59700,0.16200,-8.94700,0.44200,-8.48600,0.24200,-8.58200,0.19800,-8.50700,0.17700,-8.29300,0.20700,-9.69900,0.40200,-9.60100,0.23700,-9.27600,0.35800,-9.29000,0.44100,-9.30600,0.35300,-9.26800,0.40300,-9.25300,0.39300,-8.95400,0.47000,-9.00100,0.45100,-9.04200,0.42900,-9.06700,0.33100,-7.72700,0.28200,-7.76100,0.19800,-7.81700,0.20700,-7.67000,0.28500,-7.60700,0.40800,-7.86300,0.20600,-7.85200,0.26400,-7.75200,0.23100,-7.88000,0.36000,-7.61800,0.71200,-7.58000,0.54500,-7.28100,0.67400,-7.20600,0.66600,-7.46700,0.47900,0,0.06310,7.00880,5.31640,22997356,23.41000,7.69000
42.02500,-87.97500,Chicago,3,0.64380,32261.00000,0.76180,32013.00000,0.76640,31896.00000,0.78700,29870.00000,-8.17900,0.59200,-8.65500,1.03100,-8.59800,0.15700,-8.92900,0.53200,-8.48600,0.23700,-8.57600,0.19700,-8.49600,0.17100,-8.27700,0.21800,-9.38800,0.41700,-9.29600,0.22800,-8.98500,0.37200,-9.00500,0.43700,-8.98400,0.33800,-8.93900,0.39600,-8.91700,0.37800,-8.66000,0.46400,-8.70800,0.44500,-8.74500,0.44700,-8.79000,0.33000,-7.49300,0.30000,-7.50500,0.23000,-7.59200,0.23900,-7.44600,0.28200,-7.35200,0.46200,-7.61400,0.22400,-7.64100,0.27700,-7.52800,0.26300,-7.65000,0.41100,-7.44800,0.68800,-7.37700,0.55500,-6.93000,0.68300,-6.85600,0.79400,-7.10400,0.49200,0,0.13570,5.94300,8.40130,22997356,18.09000,4.82000
42.02500,-87.92500,Chicago,3,0.72420,37865.00000,0.89150,37523.00000,0.90280,37376.00000,0.93270,35000.00000,-8.15900,0.56600,-9.10300,0.94500,-8.59800,0.13900,-8.87100,0.82700,-8.48600,0.22100,-8.55700,0.19300,-8.46200,0.14900,-8.22200,0.25400,-9.17300,0.42200,-9.08700,0.22700,-8.79100,0.37300,-8.79600,0.41300,-8.75800,0.34300,-8.71800,0.38100,-8.67900,0.36100,-8.46900,0.44900,-8.49800,0.42200,-8.53300,0.44100,-8.58800,0.34000,-7.37500,0.31300,-7.36500,0.24800,-7.45900,0.25100,-7.35400,0.27800,-7.21400,0.49300,-7.47400,0.24000,-7.49800,0.27800,-7.39200,0.26600,-7.48600,0.49100,-7.33500,0.64700,-7.21700,0.53000,-6.58200,0.69200,-6.54700,0.78500,-6.84000,0.48100,0,0.14870,6.36930,10.08850,22997356,9.58000,3.57000
42.02500,-87.87500,Chicago,3,0.61070,55731.00000,0.77570,55246.00000,0.78030,55031.00000,0.79190,51589.00000,-8.19700,0.56000,-9.19600,1.01700,-8.63100,0.14900,-8.91100,0.84500,-8.51400,0.22800,-8.58200,0.19500,-8.49400,0.15200,-8.25200,0.26300,-9.06000,0.43000,-8.97100,0.22900,-8.70300,0.35600,-8.68600,0.41200,-8.61600,0.35500,-8.59300,0.38400,-8.54100,0.37500,-8.35100,0.44000,-8.37900,0.40600,-8.41900,0.44600,-8.46700,0.35100,-7.27100,0.31900,-7.31000,0.24300,-7.35500,0.24700,-7.33600,0.28300,-7.13300,0.50300,-7.38300,0.25400,-7.38600,0.26300,-7.31200,0.27100,-7.44300,0.52700,-7.30000,0.58200,-7.13000,0.49000,-6.42100,0.65800,-6.35900,0.78300,-6.80600,0.44400,0,0.12720,6.73620,9.59480,22997356,18.97000,5.28000
42.02500,-87.82500,Chicago,3,0.76850,69821.00000,0.92310,69337.00000,0.92340,68995.00000,0.93000,64816.00000,-8.58500,0.50100,-10.15000,1.76700,-8.96300,0.25200,-9.33100,1.02700,-8.80000,0.30400,-8.84200,0.21600,-8.81500,0.18000,-8.55900,0.35300,-9.16700,0.44900,-9.09400,0.24700,-8.83100,0.34600,-8.83300,0.43500,-8.67800,0.38100,-8.69100,0.40000,-8.63300,0.40900,-8.48100,0.43500,-8.48800,0.39100,-8.49800,0.47200,-8.55600,0.37400,-7.36400,0.34700,-7.39000,0.25000,-7.47100,0.24400,-7.44500,0.28000,-7.17600,0.50600,-7.43400,0.24600,-7.44400,0.24300,-7.38100,0.27000,-7.47700,0.52000,-7.41900,0.48600,-7.23100,0.51400,-6.56900,0.66800,-6.52000,0.81900,-7.05600,0.43400,0,0.14770,4.68040,7.59600,22997356,12.46000,4.07000
42.02500,-87.77500,Chicago,3,0.65180,54092.00000,0.82240,53548.00000,0.82480,53284.00000,0.83150,50225.00000,-8.58500,0.50100,-10.15000,1.76700,-8.96300,0.25200,-9.33100,1.02700,-8.80000,0.30400,-8.84200,0.21600,-8.81500,0.18000,-8.55900,0.35300,-9.47700,0.47700,-9.39800,0.29400,-9.16700,0.36600,-9.14100,0.44300,-8.91800,0.42500,-8.96500,0.42600,-8.88600,0.43500,-8.79500,0.47400,-8.77700,0.42700,-8.76000,0.49900,-8.83200,0.42800,-7.62500,0.36200,-7.50500,0.27000,-7.68800,0.25000,-7.61900,0.33300,-7.34600,0.51400,-7.60100,0.25200,-7.55700,0.26400,-7.54900,0.28100,-7.79500,0.43700,-7.77200,0.48800,-7.58200,0.53100,-7.14900,0.68300,-7.07300,0.85700,-7.56400,0.36900,0,0.13890,5.41890,8.26480,22997356,11.44000,3.93000
42.02500,-87.72500,Chicago,3,0.62250,78124.00000,0.93510,77427.00000,0.93580,77123.00000,0.94040,72674.00000,-9.30700,0.56200,-11.36700,2.48500,-9.74000,0.43600,-10.05800,1.24300,-9.43500,0.47100,-9.48100,0.32600,-9.58400,0.27200,-9.32500,0.52100,-10.24500,0.49800,-10.18100,0.34800,-9.89500,0.40300,-9.91600,0.45800,-9.62200,0.47700,-9.69100,0.47000,-9.59600,0.46400,-9.58800,0.51800,-9.45200,0.51200,-9.48200,0.57800,-9.52900,0.49500,-8.20500,0.40200,-7.98300,0.36600,-8.17800,0.29100,-8.09800,0.37100,-7.84600,0.50000,-8.08400,0.25500,-8.04300,0.30400,-8.01100,0.40100,-8.29800,0.52300,-8.36100,0.51600,-8.16400,0.50500,-7.79500,0.72700,-7.68300,0.85100,-8.14000,0.49800,0,0.15110,4.81540,8.90890,22997356,11.85000,3.76000
42.02500,-87.67500,Chicago,2,0.29790,133937.00000,0.60660,132861.00000,0.60760,132438.00000,0.61110,124136.00000,-9.41300,0.57200,-11.54500,2.59000,-9.85400,0.46300,-10.16500,1.27400,-9.52900,0.49500,-9.57500,0.34200,-9.69700,0.28500,-9.43800,0.54600,-11.26700,0.61500,-11.21000,0.46900,-10.92200,0.51900,-10.94000,0.51100,-10.62000,0.56100,-10.67000,0.54400,-10.56600,0.56000,-10.61700,0.60100,-10.39900,0.58400,-10.46300,0.66900,-10.50400,0.56800,-9.53400,0.53200,-9.61900,0.53300,-9.62000,0.36000,-9.60400,0.43500,-9.37700,0.61400,-9.58400,0.36300,-9.45500,0.45200,-9.41700,0.47700,-9.43900,0.72800,-9.28500,0.53000,-9.23800,0.60300,-8.98900,1.05400,-8.70100,0.92000,-9.12300,0.69400,0,0.11670,5.18170,10.19690,22997356,16.91000,4.92000
42.02500,-87.62500,Chicago,0,0.03620,0.00000,0.06460,0.00000,0.06530,0.00000,0.06570,0.00000,-9.41300,0.57200,-11.54500,2.59000,-9.85400,0.46300,-10.16500,1.27400,-9.52900,0.49500,-9.57500,0.34200,-9.69700,0.28500,-9.43800,0.54600,-12.83100,0.75200,-12.83200,0.65900,-12.60800,0.74900,-12.56500,0.65200,-12.17000,0.69400,-12.28200,0.68900,-12.14700,0.69600,-12.21500,0.76900,-11.96000,0.71500,-12.01100,0.81400,-12.07300,0.66800,-11.79500,0.82800,-12.24100,0.81800,-12.16300,0.73000,-12.05800,0.66000,-11.65000,0.79100,-11.99200,0.68900,-11.91500,0.62000,-11.70500,0.83100,-11.24300,1.03400,-11.14100,1.03200,-10.98400,1.17900,-10.79000,1.65900,-10.40700,1.16100,-10.75400,1.06400,100,0.00000,0.00000,0.00000,22997356,18.51000,5.33000
42.02500,-87.57500,Chicago,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-13.38500,0.79800,-13.41100,0.72400,-13.21400,0.83000,-13.15000,0.70500,-12.72400,0.73900,-12.86300,0.73800,-12.71300,0.74300,-12.78400,0.83000,-12.52000,0.76300,-12.56900,0.86600,-12.63700,0.70200,-12.59100,0.93000,-13.13600,0.92600,-13.05400,0.85800,-12.90100,0.74800,-12.42000,0.85100,-12.81300,0.80700,-12.77100,0.65600,-12.49000,0.97000,-11.88300,1.12400,-11.85000,1.24200,-11.61200,1.39600,-11.43000,1.86600,-11.03800,1.24400,-11.36700,1.20400,100,0.00000,0.00000,0.00000,22997356,-9999.00000,-9999.00000
42.02500,-87.52500,Chicago,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,22997356,-9999.00000,-9999.00000
41.97500,-88.02500,Chicago,3,0.36270,23159.00000,0.69010,23773.00000,0.71800,24447.00000,0.74510,23969.00000,-8.04900,0.64000,-8.11800,1.44200,-8.40700,0.14200,-8.69800,0.43200,-8.25600,0.23900,-8.31100,0.18400,-8.28800,0.16700,-8.07900,0.22500,-9.54200,0.39500,-9.40200,0.24900,-9.07600,0.38300,-9.07200,0.47300,-9.08900,0.35200,-9.10300,0.41500,-9.02700,0.38000,-8.75700,0.47100,-8.80700,0.45700,-8.85000,0.44700,-8.89600,0.34600,-7.54200,0.28300,-7.60000,0.21600,-7.66700,0.22700,-7.51000,0.29300,-7.44200,0.42800,-7.68900,0.20600,-7.71000,0.26600,-7.58600,0.26800,-7.73800,0.38800,-7.43900,0.70400,-7.44200,0.57600,-6.99100,0.69300,-6.88000,0.90200,-7.11000,0.43800,0,0.09280,6.98140,6.51680,23015164,13.21000,4.41000
